,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector
0,0,0,Korean IMO chief to take office next month,"The newly elected chief of the United Nations maritime body will start his four-year term in the beginning of next year, the South Korean government said Thursday.Lim Ki-tack, a former head of South Korea's local port operator, was elected in June to head the International Maritime Organization.Lim will replace Secretary-General Koji Sekimizu to become the 9th IMO secretary-general starting Jan. 1.His inauguration wa...","The newly elected chief of the United Nations maritime body will start his four-year term in the beginning of next year, the South Korean government said Thursday.Lim Ki-tack, a former head of South Korea's local port operator, was elected in June to head the International Maritime Organization.Lim will replace Secretary-General Koji Sekimizu to become the 9th IMO secretary-general starting Jan. 1.His inauguration was approved unanimously by the IMO's general assembly last month, according to the Ministry of Oceans and Fisheries.He has served in multiple positions in and outside the IMO, including as chairman of the subcommittee on Implementation of IMO Instruments (formerly the FSI) from 2002-2005.""I will go through thorough organization analysis and assessment to make the IMO become a more transparent and efficient international agency,"" Lim was quoted as saying.The IMO is the leading global authority on safety, security and environmental issues in the international shipping industry. South Korea joined the organization in 1962. (Yonhap)","operator was elected in june ,june to head the international ,south korean government said thursday ,elected in june to head ,elected in june","['the United Nations', 'south korean', 'Lim Ki - tack', ""South Korea 's"", 'the International Maritime Organization', 'Koji Sekimizu', 'the Ministry of Oceans', 'implementation of IMO Instruments', 'Lim', 'South Korea']",7,"[ 1.          1.          1.         ... -0.64196593  0.55084962
  0.30356419]"
1,1,1,Another NPAD lawmaker leaves,"Rep. Kim Dong-cheol announced Sunday he was leaving the New Politics Alliance for Democracy, bringing the number of defectors from the embattled opposition party to four in just a week.“The only way to accomplish new politics and administrative change at this point is through the new party to be created by Rep. Ahn Cheol-soo,” Kim, whose defection was widely predicted, said at a press conference.Rep. Kim Dong-cheol...","Rep. Kim Dong-cheol announced Sunday he was leaving the New Politics Alliance for Democracy, bringing the number of defectors from the embattled opposition party to four in just a week.“The only way to accomplish new politics and administrative change at this point is through the new party to be created by Rep. Ahn Cheol-soo,” Kim, whose defection was widely predicted, said at a press conference.Rep. Kim Dong-cheol YonhapKim’s defection marked the first time for a lawmaker representing the opposition’s political stronghold of Gwangju to bolt. He said he believed many more would follow suit.Last week, Reps. Moon Byung-ho, Yoo Sung-yop and Hwang Ju-hong defected from the NPAD to join Ahn, an entrepreneur-turned-politician who recently left the party over a power struggle with current leader Rep. Moon Jae-in.With Kim’s defection, only five out of eight lawmakers representing the NPAD’s political bastion of Gwangju remain within the party. Former NPAD members Reps. Chun Jung-bae and Park Joo-sun, both representing different districts of Gwangju, had left the party earlier in the year and are each planning to launch their own party.Of the remaining five, only Rep. Kang Ki-jung is considered a part of the Moon faction, which observers point to as a sign that more of them could decide to leave as they had been demanding Moon step down for a fresh leadership ahead of next year’s general election.“Many of the lawmakers representing (the Gwangju constituencies) are expected to make the decision (to leave),” Kim said without naming names.The internal dispute at the NPAD has been spilling over to reshape the bipartisan political landscape paralleled by the ruling Saenuri Party in recent weeks, culminating in the defection of Ahn on Dec. 13. While it had only been less than two years since Ahn joined forces with the main opposition bloc, he had recently been spearheading Moon’s internal critics that include the former Democratic Party’s old guards. With less than four months remaining to the April 13 parliamentary elections, the series of defections are feared to disperse the already weakened progressive support base against the solid conservatives.Law professor Cho Kuk of Seoul National University, who had served in the NPAD’s reform committee, said via his Facebook page on Saturday that all the dissenting forces should work on paving their own ways but should gather forces ahead of the elections.“(The opposition) should go their own way for the time being. … But it is hoped that they come to their cool-headed and rational senses ahead of April. I hope that they will align in the name of chaebol reform, economic democratization and citizens’ welfare,” he said as he touched on the sense of emergency felt among liberals.Moon, meanwhile, urged for those being left behind to remain undeterred. “Some of our family members have left our home (NPAD) saying they no longer like the way we are. But it is all the more reason for those remaining to gather forces and rebuild the house so that those who left will return,” Moon said while attending a welfare seminar at the National Assembly on Sunday.Seoul City Mayor Park Won-soon, who also attended the event, emphasized consistent efforts to prevent further split. “I am extremely concerned about the party. … Division leads to absolute defeat,” he said. “I think we should conjure up all means possible by trying to embrace conservative-centrist forces to win the parliamentary elections.”Rep. Ahn, in the meantime, is planning to hold a press conference Monday and reveal the blueprint for creating his new party, his sources said. (khnews@heraldcorp.com)","last week reps moon byung ,on sunday seoul city mayor ,his facebook page on saturday ,suit last week reps moon ,entrepreneur turned politician who recently","['Kim Dong - cheol', 'the New Politics Alliance for Democracy', 'Ahn Cheol', 'Kim', 'Kim Dong - cheol', 'YonhapKim ’s', 'Moon Byung - ho', 'Yoo Sung - yop', 'Hwang Ju - hong', 'Moon Jae - in', 'Kim', 'NPAD', 'Chun Jung - bae', 'Kang Ki - jung', 'Moon', 'Moon', 'Kim', 'NPAD', 'Saenuri Party', 'Ahn', 'Moon ’s', 'Democratic Party ’s', 'law', 'Cho Kuk', 'Seoul National University', 'Moon', 'NPAD', 'Moon', 'the National Assembly', 'Seoul City', 'Park Won - soon']",3,"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -7.32871830e-01
  6.67404830e-01  7.29375985e-04]"
2,2,2,Park renews call for correct history education,"President Park Geun-hye said Tuesday that history should be taught ""correctly"" for young South Koreans in what could be the latest move to advocate for state history textbooks.""I think history achieved by our elders should be taught correctly in order for our country to leap forward,"" Park said during a luncheon she hosted for the elderly at Cheong Wa Dae, South Korea's presidential office.The invited guests included...","President Park Geun-hye said Tuesday that history should be taught ""correctly"" for young South Koreans in what could be the latest move to advocate for state history textbooks.""I think history achieved by our elders should be taught correctly in order for our country to leap forward,"" Park said during a luncheon she hosted for the elderly at Cheong Wa Dae, South Korea's presidential office.The invited guests included those who turned 100 this year, aged residents of foreign countries, and retirees who are active as social volunteers or in other jobs.Stressing the importance of history for the young generation, Park asked the attendees to ""show wisdom and strength so that the future generation can have the right and positive view.""Her remarks came a month after the government announced it will revise the current textbook publication system so that middle and high school students will learn Korean history through national textbooks starting in the 2017 school year.Currently, history textbooks for secondary schools are published by eight private publishing companies pending government approval. (Yonhap)","students will learn korean history ,korean history through national textbooks ,school year currently history textbooks ,school students will learn korean ,will learn korean history through","['Park Geun', 'South Koreans', 'Park', ""South Korea 's"", 'Park', 'korean']",3,"[ 0.          0.          0.         ... -0.13666964  0.94122881
  0.23524901]"
3,3,3,Ex-President Lee ordered all-out retaliation after Pyongyang's Yeonpyeong bombardment in 2010,"Former President Lee Myung-bak ordered an air strike of a North Korean military compound when the North shelled the South Korean border island of Yeonpyeong in 2010, a memoir by Lee's former chief press secretary said Sunday.  In the memoir titled ""Days of Challenges"" that was released Sunday, Lee Dong-kwan, a former spokesman and chief press secretary for Lee Myung-bak, refuted the long-running claim that the pres...","Former President Lee Myung-bak ordered an air strike of a North Korean military compound when the North shelled the South Korean border island of Yeonpyeong in 2010, a memoir by Lee's former chief press secretary said Sunday.  In the memoir titled ""Days of Challenges"" that was released Sunday, Lee Dong-kwan, a former spokesman and chief press secretary for Lee Myung-bak, refuted the long-running claim that the president instructed the military to stop the North Korean shelling from spilling over.  Lee ""ordered counterattacks involving all possible measures"" on a North Korean military compound in Kaemori, said the former presidential secretary, who is running in the parliamentary elections slated for April 13.  One of those measures was for two F-15 fighter bombers, which were flown over the bombarded island, to be deployed for counterattacks, he said.    The North Korean bombardment of Yeonpyeong, one of South Korea's clusters of front-line islands in the Yellow Sea, took place while Lee was in his third year in office. The shelling killed four South Korean soldiers and civilians, and wounded 19 others.   The presidential order was not carried out, however, as military officials overrode the order with a United Nations Command rule that says a counterattack should be conducted with weapons of the same type and amount.   ""The military officials hesitated about the military action, citing a need to discuss it with the United States Forces Korea,"" the former aide said.  He said non-military Cabinet members were more eager for a proactive counterattack, while military officials were not prepared enough, stressing that the two dispatched fighters were not even loaded with air-to-surface missiles.   The former presidential secretary also wrote about a behind-the-scene story involving Lee's summit meeting with then U.S. President George Bush in 2008.  ""From now on, (the U.S.) will give intelligence to South Korea,"" the former presidential official said, quoting the U.S. president.   Until then, the U.S. withheld intelligence from South Korea because they believed U.S.-provided information was flowing to North Korea under the previous liberal administration of President Roh Moo-hyun, he said, stressing that the remarks are a clear sign that the South Korea-U.S. alliance is on the upturn. (Yonhap)","shelling killed four south korean ,north korean shelling from spilling ,killed four south korean soldiers ,of yeonpyeong in 2010 memoir ,office the shelling killed four","['Lee Myung - bak', 'north korean', 'south korean', 'Yeonpyeong', 'Lee', 'Lee Dong - kwan', 'Lee Myung - bak', 'north korean', 'north korean', 'Kaemori', 'north korean', 'Yeonpyeong', ""South Korea 's"", 'Lee', 'south korean', 'United Nations Command', 'the United States Forces Korea', 'Cabinet', 'Lee', 'U.S.', 'George Bush', 'U.S.', 'South Korea', 'U.S.', 'U.S.', 'South Korea', 'North Korea', 'Roh Moo - hyun', 'South Korea', 'U.S.']",14,[0.         2.         0.         ... 0.09768166 0.20929126 0.19872889]
4,4,4,Seoul mayor proposes discussing his welfare plan,"Seoul Mayor Park Won-soon proposed creating an organization involving rival parties and central and local governments Thursday that would discuss his controversial plan of providing direct cash benefits to young and unemployed people.In October, Park announced the plan to provide an average 500,000 won ($428) a month for up to six months to about 3,000 unemployed young adults each in the capital city, as part of the ...","Seoul Mayor Park Won-soon proposed creating an organization involving rival parties and central and local governments Thursday that would discuss his controversial plan of providing direct cash benefits to young and unemployed people.In October, Park announced the plan to provide an average 500,000 won ($428) a month for up to six months to about 3,000 unemployed young adults each in the capital city, as part of the municipal government's five-year measures for supporting the employment of the young generation.Park's proposal, however, sparked debate among political parties with the ruling party calling it a populist idea ahead of the general elections slated for next April. The central government has also opposed the move.Park, who was elected with strong support from liberal supporters, is a member of the main opposition New Politics Alliance for Democracy.""I propose creating an organization with the participation of the central government, the National Assembly, rival parties, youth organizations and local governments,"" Park told reporters. Under Park's proposal, some 3,000 people aged between 19 and 29 in the low-income bracket will benefit from the plan starting in the second half of 2016 on a trial basis. Nearly 50 billion won is estimated to be required to execute the plan between 2016 and 2020. ""Youth policy should be created under the name of integration not division since it is directly related to the life and future of the youth,"" Park said. Finance Minister Choi Kyung-hwan earlier said the government will utilize all available means to block the move, noting regional and district governments are required to consult with the central government before introducing a new welfare program.The minister insisted a real solution to the problem of youth unemployment is creating more jobs. (Yonhap)","seoul mayor park won soon ,average 500 000 won 428 ,unemployment is creating more jobs ,youth park said finance minister ,generation park proposal however sparked","['Seoul', 'Park Won - soon', 'Park', 'Park', 'New Politics Alliance for Democracy', 'the National Assembly', 'Park', 'Park', 'Choi Kyung - hwan']",2,"[ 0.          0.          0.         ... -0.52410752  0.56338501
  0.28545061]"
5,5,5,"N.K. leader consolidates power, but poor at diplomacy","North Korean leader Kim Jong-un has consolidated his power in a short period of time since he took office in late 2011, but the North's isolation has seriously deepened due to his obsession with nuclear weapons, analysts said.The North's young leader Kim inherited power four years ago when his father Kim Jong-il died of heart failure.In his late 20s, Kim became the North's leader just three years after he was anointe...","North Korean leader Kim Jong-un has consolidated his power in a short period of time since he took office in late 2011, but the North's isolation has seriously deepened due to his obsession with nuclear weapons, analysts said.The North's young leader Kim inherited power four years ago when his father Kim Jong-il died of heart failure.In his late 20s, Kim became the North's leader just three years after he was anointed the heir-apparent, necessitating his drive to consolidate power in a short period of time.""Kim chose the reign of terror for a governing style,"" said Yang Moo-jin, a professor at the University of North Korean Studies. ""He has brutally dealt with disobedient officials while displaying the image of a caring leader for ordinary North Koreans.""Since assuming power, Kim has executed around 100 party and military officials, according to the Institute for National Security Strategy.He ordered the execution of his once-powerful uncle Jang Song-thaek for treason two years ago. Former defense chief Hyon Yong-chol was killed with an anti-aircraft gun over his alleged disloyalty to Kim.The iron-fisted rule has helped the North's leader reshuffle old-time officials and set up his own legacy, but a growing number of officials are also disenchanted with his rule, seeking asylum in South Korea and other countries, experts said.""What strikes in the North's power structure is an emergence of new power elites in their 40s and 50s,"" said Kim Yong-hyun, a professor of North Korean studies at Dongguk University. ""A shift in generations will continue among party officials.""Analysts said that the planned congress of the ruling Worker's Party of Korea will be a watershed for gauging the direction of Kim's governing rule.The WPK plans to hold the congress for the first time in more than three decades in May where Kim is likely to conduct reshuffle and unveil a new line of state policies.Yang said Kim may loosen the severity of the reign of terror ahead of the key party event, but his pursuit of purges will continue as it is a common governing style in dictatorial socialist countries.Touching on external affairs, North Korea has seen its isolation deepen under Kim's regime due to the country's persistent pursuit of nuclear weapons program. The North has conducted nuke tests in 2006, 2009 and 2013.Kim is seeking a dual pursuit of developing nuclear arsenals and boosting its fragile economy, commonly known as the ""byeongjin"" policy. Seoul and Washington have warned that the North's dual-track policy a dead end for it.Also he has not held any summit with leaders from other countries including China, the North's traditional ally.Relations between North Korea and China have been sharply strained since the North's 2013 nuke test though some signs of improvement have emerged since October when a ranking Chinese official visited the North for a military parade.Meanwhile, South and North Korea reached a rare deal in August on defusing military tension following heightened tension sparked by a landmine blast near the inter-Korean border blamed on North Korea.The two sides are scheduled to hold a vice-ministerial meeting on Friday to discuss pending issues, but there is a big gap between the two over main agenda items for the talks.Seoul puts a priority on regularize reunions of families separated by the 1950-53 Korean War while Pyongyang calls for the early resumption of a suspended joint tour program at Mount Kumgang in the North.""Whether to resume the tour program is not a simple issue as it is linked to the North's nuclear problem as U.N. Security Council sanctions on the North bans transfer of bulk cash to Pyongyang,"" said Chang Yong-seok, a researcher at the Seoul National University Institute for Peace and Unification Studies.He also said that the North is facing very serious isolation as it is under relevant U.N. sanctions banning the North's nuke and missile tests.""North Korea is expected to focus on handling external relations for the time being ahead of the party congress,"" he said. (Yonhap)","north koreans since assuming power ,his obsession with nuclear weapons ,thaek for treason two years ,korean studies he has brutally ,il died of heart failure","['north korean', 'Kim Jong - un', 'Kim', 'Kim Jong - il', 'Kim', 'Yang Moo - jin', 'the University of North Korean Studies', 'North Koreans', 'Kim', 'the Institute for National Security Strategy', 'Jang Song - thaek', 'Hyon Yong - chol', 'Kim', 'South Korea', 'Kim Yong - hyun', 'north korean', 'Dongguk University', 'Worker', 'Party of Korea', 'Kim', 'WPK', 'Kim', 'Yang', 'Kim', 'North Korea', 'Kim', 'Seoul', 'Washington', 'China', 'North Korea', 'China', 'chinese', 'North Korea', 'inter - korean', 'North Korea', 'Seoul', 'Pyongyang', 'Mount Kumgang', 'U.N. Security Council', 'Pyongyang', 'Chang Yong - seok', 'the Seoul National University Institute for Peace and Unification Studies', 'U.N.', 'Korea']",5,"[ 0.          0.          0.         ... -0.4192237   0.63219839
  0.08752   ]"
6,6,6,"Park returns home after two-nation visit for climate, regional summits","   President Park Geun-hye returned home Saturday after a two-nation swing to attend the U.N. climate summit and a string of summits with the leaders of central European countries.   In Paris, Park called for global efforts to launch a new deal on combating climate change and sought collaboration among countries to help make clean energy widely affordable.   ""We must marshal the collective will and capacities o...","President Park Geun-hye returned home Saturday after a two-nation swing to attend the U.N. climate summit and a string of summits with the leaders of central European countries.   In Paris, Park called for global efforts to launch a new deal on combating climate change and sought collaboration among countries to help make clean energy widely affordable.   ""We must marshal the collective will and capacities of the entire world and make absolutely sure that this climate change conference gives birth to a new climate regime,"" Park said at the U.N. climate change in Paris.   The summit was designed to generate political momentum for negotiations on a new legally binding deal to cut greenhouse gas emissions. The negotiators are set to produce a deal that is to be applicable to all countries and seeks to keep global warming below2 degrees Celsius.   In Prague, Park met with the prime ministers of the Czech Republic, Hungary, Poland and Slovakia in the inaugural summit between South Korea and the so-called Visegrad Group.   Park also held separate talks with all four leaders in Prague, which were dominated by Park's sales pitch for South Korea's nuclear reactors and her push to make inroads into infrastructure markets.   South Korea said the Visegrad Group countries are pursuing major infrastructure projects expected to be worth over 50 trillion won ($43 billion).   South Korea also hopes that the experience of the Visegrad Group in embracing democracy and market economy could be a lesson for South Korea at a time when it is pursuing a peaceful unification with North Korea.   ""There are many areas in which to cooperate with these countries to help North Korea embrace change,"" Park told South Korean residents, noting the Visegrad Group had the experience of transforming into a democracy and a market economy following the collapse of the Soviet Union.   She has called reunification a ""bonanza"" for South Korea as well as a blessing for surrounding countries.   Still, North Korea has long suspected that Seoul could be plotting to absorb Pyongyang, a claim denied by South Korea. (Yonhap)","to attend the climate summit ,hye returned home saturday after ,slovakia in the inaugural summit ,climate change conference gives birth ,paris park called for global","['Park Geun', 'U.N.', 'european', 'Paris', 'Park', 'U.N.', 'Paris', 'Prague', 'Park', 'the Czech Republic', 'Hungary', 'Poland', 'Slovakia', 'South Korea', 'Visegrad Group', 'Prague', 'Park', ""South Korea 's"", 'South Korea', 'Visegrad Group', 'South Korea', 'the Visegrad Group', 'South Korea', 'North Korea', 'North Korea', 'Park', 'south korean', 'the Visegrad Group', 'the Soviet Union', 'South Korea', 'North Korea', 'Seoul', 'Pyongyang', 'South Korea']",14,"[ 0.          1.          0.         ... -0.57643616  0.7919876
 -0.15009035]"
7,7,7,Park visits site of deadly terror attack in Paris,"President Park Geun-hye has visited the site of the deadly terror attack in Paris after attending the U.N. climate change summit, in a symbolic gesture that underscored South Korea's solidarity with France.Park laid white chrysanthemums in front of the Bataclan Theater and paid silent tribute to those who were killed in the attack on Nov. 13.""I offer condolences to the victims of the terror attack, and we will always...","President Park Geun-hye has visited the site of the deadly terror attack in Paris after attending the U.N. climate change summit, in a symbolic gesture that underscored South Korea's solidarity with France.Park laid white chrysanthemums in front of the Bataclan Theater and paid silent tribute to those who were killed in the attack on Nov. 13.""I offer condolences to the victims of the terror attack, and we will always be with France,"" Park told French culture minister Fleur Pellerin at the site on Monday evening.Pellerin expressed thanks to Park for visiting the scene of the terror attack and showing strong solidarity with France.The Bataclan was one of several locations attacked by the Islamic State, which killed 130 people.Also Monday, Park voiced hope that South Korean artwork can bring comfort to French people who were devastated by the terror attacks.She made the comment to the head of the museum, where South Korean works of art are being displayed. (Yonhap)","terror attack in paris after ,attending the climate change summit ,france park laid white chrysanthemums ,devastated by the terror attacks ,attack in paris after attending","['Park Geun', 'Paris', 'U.N.', ""South Korea 's"", 'France', 'the Bataclan Theater', 'France', 'Park', 'french', 'Fleur Pellerin', 'Pellerin', 'France', 'Bataclan', 'the Islamic State', 'Park', 'south korean', 'french', 'south korean']",7,"[ 0.          2.          0.         ... -0.51210916  0.17538969
  0.35069188]"
8,8,8,North Korean leader visits remodeled education center for students,"North Korea's leader Kim Jong-un has visited a recently remodeled facility for primary and middle school students' extracurricular activities, the North's media said Tuesday.The leader visited the Mangyongdae Schoolchildren's Palace, a comprehensive after-school education center for school students, according to the Korean Central News Agency. It did not specify the date of his visit.Kim ordered the remodeling of the...","North Korea's leader Kim Jong-un has visited a recently remodeled facility for primary and middle school students' extracurricular activities, the North's media said Tuesday.The leader visited the Mangyongdae Schoolchildren's Palace, a comprehensive after-school education center for school students, according to the Korean Central News Agency. It did not specify the date of his visit.Kim ordered the remodeling of the center, which includes a gym and a swimming pool, in May last year.The leader expressed satisfaction of the new facility, adding that students will be able to learn more about the country's revolutionary history, according to the KCNA.At a science hall in the center, there is a model of a ""Unha 3"" rocket, which the North sent into orbit in December 2012, it added.Kim's entourage included Kim Yang-gon, Pyongyang's top party official handling inter-Korean ties, and Jo Yong-won, a senior official in the North's ruling party.Seoul's spy agency said Monday that the status of Jo is presumed to have sharply risen in the rankings of those in power in North Korea, given the frequency of his accompanying the leader on inspections. (Yonhap)","pool in may last year ,visited recently remodeled facility ,mangyongdae schoolchildren palace comprehensive after ,and swimming pool in may ,media said tuesday the leader","[""North Korea 's"", 'Kim Jong - un', ""the Mangyongdae Schoolchildren 's Palace"", 'the Korean Central News Agency', 'Kim', 'KCNA.At', 'Kim', 'Kim Yang - gon', 'Pyongyang', 'inter - korean', 'Jo Yong - won', 'Seoul', 'Jo', 'North Korea']",3,"[ 0.          0.          0.         ... -0.26176789  1.04646206
 -0.2142496 ]"
9,9,9,Park promotes senior transport official to second vice minister,"President Park Geun-hye named a senior transport official the second vice minister of the Ministry of Land, Infrastructure and Transport, Cheong Wa Dae said Wednesday.  Choi Jeong-ho, who handled planning and coordination at the ministry, will take up the new post, the presidential office said.   Presidential spokesman Jeong Yeon-guk told reporters that Choi is the right person to pursue major policy issues as he...","President Park Geun-hye named a senior transport official the second vice minister of the Ministry of Land, Infrastructure and Transport, Cheong Wa Dae said Wednesday.  Choi Jeong-ho, who handled planning and coordination at the ministry, will take up the new post, the presidential office said.   Presidential spokesman Jeong Yeon-guk told reporters that Choi is the right person to pursue major policy issues as he has served in major posts at the ministry. (Yonhap)","the new post the presidential ,presidential office said presidential spokesman ,said presidential spokesman jeong yeon ,new post the presidential office ,dae said wednesday choi jeong","['Park Geun', 'the Ministry of Land , Infrastructure and Transport', 'Choi Jeong - ho', 'Jeong Yeon - guk', 'Choi']",7,"[ 0.          0.          0.         ... -0.45485649  0.58537215
  0.29496971]"
10,10,10,"12,000 people pay respect to ex-President Kim","More than 10,000 people, including retired politicians and business moguls, have visited a hospital in Seoul over three days to offer condolences for the death of former President Kim Young-sam.  Kim, an iconic figure of the pro-democracy movement who ended decades of military rule in South Korea with his presidency from 1993 to 1998, passed away Sunday at Seoul National University Hospital. He was 87.  A total o...","More than 10,000 people, including retired politicians and business moguls, have visited a hospital in Seoul over three days to offer condolences for the death of former President Kim Young-sam.  Kim, an iconic figure of the pro-democracy movement who ended decades of military rule in South Korea with his presidency from 1993 to 1998, passed away Sunday at Seoul National University Hospital. He was 87.  A total of 12,900 people, including incumbent and former politicians, as well as heads of major business groups, had visited the hospital as of 10:00 a.m. Tuesday.   Sohn Kyung-sik, chairman of the country's leading food and entertainment conglomerate CJ, mourned the death of an icon of democracy.  ""Kim was a great leader adopting democracy in our country,"" Sohn told reporters, adding that he is in a better place now.  Former Prime Ministers Lee Hong-gu and Kim Soo-han also paid their respects at the president's memorial hall.  Additionally, nearly 20,000 citizens visited 188 altars across the country, including the main one at the National Assembly building, to pay their respects to the late president.  The government set up altars across the country as part of a five-day mourning period before holding a state funeral for Kim on Thursday.  The funeral ceremony is slated to be held at 2:00 p.m., with President Park Geun-hye, high-level politicians and foreign delegates in attendance at a plaza in front of the National Assembly in Yeouido, central Seoul.  Kim will then be laid to rest at Seoul National Cemetery in the southern part of the capital.  Kim fought against military rulers for decades and laid the groundwork for a peaceful power transition in a country rife with military coups. (Yonhap)","passed away sunday at seoul ,000 people including retired politicians ,funeral for kim on thursday ,hospital in seoul over three ,holding state funeral for kim","['Seoul', 'Kim Young - sam', 'South Korea', 'Seoul National University Hospital', 'Sohn Kyung - sik', 'CJ', 'Kim', 'Lee Hong - gu', 'Kim Soo - han', 'National Assembly', 'Kim', 'Park Geun', 'the National Assembly', 'Yeouido', 'Seoul', 'Kim']",7,"[ 0.          0.          0.         ... -0.17760009  0.39850453
  0.47969228]"
