,Unnamed: 0,Unnamed: 0.1,title,description,body,keyword,ne,cluster,vector,author,section,month,year,keyword_e,ne_e,cluster_e,vecctor_e
0,0,0,Non-emergency patients to face ER fee hikes,"Non-emergency patients will face much higher medical costs if they use emergency rooms starting this month, as part of the government’s measures to limit the unnecessary use of emergency rooms, officials said Thursday. The Welfare Ministry said patients visiting the top 140 emergency rooms in the country will be classified into five categories depending on the urgency and severity of their condition, and charged dif...","Non-emergency patients will face much higher medical costs if they use emergency rooms starting this month, as part of the government’s measures to limit the unnecessary use of emergency rooms, officials said Thursday. The Welfare Ministry said patients visiting the top 140 emergency rooms in the country will be classified into five categories depending on the urgency and severity of their condition, and charged different fees accordingly.  Non-emergency patients who show mild symptoms such as flu will be required to shoulder all the emergency room fees on their own, while that of emergency patients will be partially covered by the national health insurance program. Until last year, all patients benefitted from partial coverage.  YonhapThe new move came as part of measures to better control infectious diseases and protect public health, after emergency room crowding was suspected as one of the culprits behind the Middle East respiratory syndrome crisis last year.A total of 88 out of 186 MERS victims were found to have been infected in emergency rooms, the ministry said.The government’s data also showed that about 80 percent of emergency room users were not in critical condition. The most common affliction of emergency room patients visiting the country’s top five hospitals was cancer, followed by open wounds, flu and acute gastroenteritis. Once patients arrive at the emergency room, medical staff will determine the urgency and severity of symptoms. If judged urgent, the patients will be given emergency treatment. If symptoms seem infectious, they will be immediately quarantined. If symptoms are mild, however, the patients will be led to different medical institutions upon their consent.Emergency room use fees will vary by hospitals, ranging from 18,000 won ($15) to 54,000 won, with larger ones costing more, the authorities said. Non-emergency patients must pay the fees even if their only treatment is a drug prescription. By Lee Hyun-jeong (rene@heraldcorp.com)","higher medical costs ,much higher medical costs ,higher medical costs if ,thursday the welfare ministry ,emergency patients will face",['the Welfare Ministry'],5,"[ 1.          0.          0.         ... -0.51565039  0.28636447
  0.27601326]",이주희,Social affairs,12,2015,"five hospitals was cancer followed ,emergency rooms officials said thursday ,emergency rooms starting this month ,top five hospitals was cancer ,face much higher medical costs","['the Welfare Ministry', 'YonhapThe', 'Lee Hyun - jeong']",10,"[ 1.          0.          0.         ... -0.51565039  0.28636447
  0.27601326]"
1,1,1,Former teacher dedicates 30 years to charity work,"As volunteers of all ages, occupations and causes lined up wearing Korean Red Cross uniforms and chef hats at the headquarters in Jongno, central Seoul, one instructor took them through how to split the dough to make cream cakes.Hours later, sponge cakes and sweet bread came out from the oven. Looking at their warm, puffy creations, the cooks’ beamed as they imagined them being doled out to those in need, a daily ro...","As volunteers of all ages, occupations and causes lined up wearing Korean Red Cross uniforms and chef hats at the headquarters in Jongno, central Seoul, one instructor took them through how to split the dough to make cream cakes.Hours later, sponge cakes and sweet bread came out from the oven. Looking at their warm, puffy creations, the cooks’ beamed as they imagined them being doled out to those in need, a daily routine for the volunteers.Standing among them was Yoon Kyung-ae, an 83-year-old volunteer who has become a familiar face at the Korean Red Cross, with which she has been working every day for the past three decades.The start of her voluntary work was nothing more than a coincidence. “I still remember the first day. It was Oct. 10, 1986 right after I retired from teaching. My friend asked me if I would join a Japanese class held at the Korean Red Cross’ office. That was the beginning,” said the 83-year-old former middle school teacher.  Yoon Kyung-ae Park Hyun-koo/The Korea HeraldWhile learning Japanese at the office, Yoon gradually opened her eyes to voluntary work. She joined the organization with the aim of dedicating the rest of her life to others, she said. Her first voluntary job was offering assistance at an information desk at Seoul Red Cross Hospital. Her job gradually broadened to guiding visitors to operation rooms and assisting at the hospital’s pharmacy. She mainly helped with sorting pills. The experience at the hospital left her with many fruitful memories, she said.“One day, a random man was urgently looking for a particular doctor. I guided him to the doctor and luckily he was able to receive the surgery that he needed. I cared for him until he left the hospital. A few days later, the man visited me to express gratitude with a box of sweet potatoes. He was a sweet potato farmer,” she said with laugh. “Since then, we have become friends and we still keep in touch. He still sends me a box of sweet potatoes every year.” Her dedication to helping others was not limited to hospitals. Whenever disasters occurred in the country such as the Seongsu Bridge collapse in 1994 or Sampoong Department Store collapse in 1995, she ran to the scene and supported the survivors and rescue workers. She also never hesitated to offer a helping hand to shelter-seekers or refugees whenever weather disasters hit the country. “The poorer the region is, the harsher the damage is when a disasters happened. The only thing the volunteers could do was to make sure that the refugees have three meals a day at shelters,” Yoon added.As of late last month, the total length of time she spent on voluntary service in the past 30 years amounts to 30,395 hours, according to Korean Red Cross officials. Starting from 2002, the former teacher has visited a disabled welfare center four days a week to support the disabled residents.Despite being in her 80s, she does not feel any physical difficulties in carrying out her voluntary service. “Nothing is physically hard or challenging to me. Everything is enjoyable and fun. See? I’m still healthy enough to carry this box,” said Yoon, grabbing the daily supply box with two hands. In recognition of her dedication to voluntary service, she received several awards from the organization over the years. “Volunteering is nothing special. It’s just a spirit of offering a helping hand to anyone anywhere at any time. That’s actually the best way to stay happy, joyful and healthy,” she said with a blissful smile.  By Lee Hyun-jeong(rene@heraldcorp.com)","make cream cakes hours ,former teacher dedicates 30 ,hours later sponge cakes ,sponge cakes and sweet ,cream cakes hours","['Korean Red Cross', 'Jongno', 'Seoul']",5,"[ 0.          1.          1.         ... -0.25588983  0.33149144
  0.46818942]",이주희,Social affairs,12,2015,"of sweet potatoes every year ,to make cream cakes hours ,make cream cakes hours ,potatoes every year her dedication ,sweet potatoes every year her","['Korean Red Cross', 'Jongno', 'Seoul', 'Yoon Kyung - ae', 'the Korean Red Cross', 'japanese', ""the Korean Red Cross '"", 'Yoon Kyung - ae', 'Park Hyun - koo', 'the Korea HeraldWhile', 'Japanese', 'Yoon', 'Seoul Red Cross Hospital', 'Seongsu Bridge', 'Sampoong Department Store', 'Yoon', 'Korean Red Cross', 'Yoon']",19,"[ 0.          1.          1.         ... -0.25588983  0.33149144
  0.46818942]"
2,2,2,Political feuds biggest obstacle to social cohesion: survey,"Koreans pointed to political feuds as the biggest reason for deteriorating social conflicts in the country, a state-led survey showed Tuesday. 　According to the poll by the Presidential Committee for National Cohesion, 51.8 percent of the respondents said that the political wrangling between the ruling party and opposition bloc contributed most to worsening social confrontations. 　In the multiple-choice survey of 2...","Koreans pointed to political feuds as the biggest reason for deteriorating social conflicts in the country, a state-led survey showed Tuesday. According to the poll by the Presidential Committee for National Cohesion, 51.8 percent of the respondents said that the political wrangling between the ruling party and opposition bloc contributed most to worsening social confrontations. In the multiple-choice survey of 2,000 Koreans aged 19 and over, the wealth gap was chosen as the second-biggest factor (40.3 percent) and personal selfishness (36.4 percent) as the third reason for social strife in the country.The majority of those surveyed, or 75 percent, viewed conflicts among different classes as the worst, followed by labor-management (68.9 percent), ideological clashes (67.7 percent) and regional conflicts (55.9 percent).The survey was released by a committee set up by President Park Geun-hye upon her inauguration to champion one of her key pledges of national integration. The administration has been upping its pressure on the rival parties to endorse stalled bills, including those on labor reform, blaming them for taking the nation‘s economy hostage for their own political interests.The most urgent matter to be tackled is the ideological war (44 percent), followed by labor-management conflict (33.4 percent) and regional conflict (27.8 percent), the respondents said.One in 7 respondents picked the nation’s rapid economic development as South Korea’s proudest achievement since its independence from Japan in 1945. With four reform agendas -- the labor, education, public and finance sectors -- hanging in the balance, 59.9 percent of respondents chose labor market reform as the priority in promoting social unity. Asked what constitutes “social integration,” 23.6 percent of the surveyed pointed to “respect for law and order,” followed by “freedom that entails responsibility” (21.9 percent) and “coexistence of various values” (20.3 percent).Those aged 60 or over stressed patriotism most, while those in their 20s and 30s emphasized freedom and a variety of values, illustrating a generational rift in perceiving social unity. On a scale of 1 to 5 from least to most divided, the level of social conflicts stood at 3.65, while that of social cohesion was 2.33, according to the poll. Conducted by pollster Research and Research from Oct. 23-26 by phone, the survey had a margin of error of plus or minus 2.2 percentage points.By Ock Hyun-ju (laeticia.ock@heraldcorp.com)","political feuds biggest obstacle ,political feuds biggest ,feuds biggest obstacle to ,feuds biggest obstacle ,for deteriorating social conflicts","['Koreans', 'the Presidential Committee for National Cohesion']",5,"[ 0.          0.          0.         ... -0.92356688 -0.07400873
  0.48293495]",옥현주,Social affairs,12,2015,"political feuds as the biggest ,koreans pointed to political feuds ,nation economy hostage for their ,personal selfishness 36 percent as ,contributed most to worsening social","['Koreans', 'the Presidential Committee for National Cohesion', 'Koreans', 'Park Geun', 'South Korea ’s', 'Japan', 'Research and Research', 'Ock Hyun - ju']",13,"[ 0.          0.          0.         ... -0.92356688 -0.07400873
  0.48293495]"
3,3,3,Public officials taking bribes to be expelled at once,"Any public official taking money or valuables worth more than 1 million won ($856) as bribes will be kicked out of office without exception from now on, the government said Monday.The Ministry of Personnel Management said the revised bill regarding disciplinary action towards public servants will take effect from Tuesday.It is the first time the government has stipulated the degree of punishment for bribed officials ...","Any public official taking money or valuables worth more than 1 million won ($856) as bribes will be kicked out of office without exception from now on, the government said Monday.The Ministry of Personnel Management said the revised bill regarding disciplinary action towards public servants will take effect from Tuesday.It is the first time the government has stipulated the degree of punishment for bribed officials depending on the amount of money received. Previously, it used the guidelines from the Anti-Corruption and Civil Rights Commission as a reference.According to the revised bill, public servants receiving 1 million won or more of cash or valuables in relation to their work can be fired or removed from office.Those expelled cannot be hired as a public official for the next five years, while their pensions and retirement allowances will also both be cut by half, the ministry said.However, if the bribe in relation to work was obtained from a person by coercion, the official can be expelled or dismissed even if the amount is less than 1 million won, it said. (Yonhap)","bribes will be kicked ,won 856 as bribes ,public officials taking bribes ,punishment for bribed officials ,officials taking bribes",['the Ministry of Personnel Management'],5,"[ 0.          0.          0.         ... -0.12317585 -0.15378253
  0.3311463 ]",KH디지털2,Social affairs,12,2015,"million won 856 as bribes ,bribes will be kicked out ,bill public servants receiving million ,bribes will be kicked ,won 856 as bribes will","['the Ministry of Personnel Management', 'the Anti - Corruption and Civil Rights Commission']",6,"[ 0.          0.          0.         ... -0.12317585 -0.15378253
  0.3311463 ]"
4,4,4,Military patents new diagnostic kits for weaponized viruses,"The military has developed the technology to diagnose Brucellosis and the Ebola virus in the early stages of infection, a major step forward in boosting biodefense capabilities, the military said Monday.A medical center under the Armed Forces Medical Command has secured the technology using real-time polymerase chain reaction to detect the two viruses which are high-risk pathogens that can be weaponized in biological...","The military has developed the technology to diagnose Brucellosis and the Ebola virus in the early stages of infection, a major step forward in boosting biodefense capabilities, the military said Monday.A medical center under the Armed Forces Medical Command has secured the technology using real-time polymerase chain reaction to detect the two viruses which are high-risk pathogens that can be weaponized in biological warfare.The medical command patented diagnostic kits created with the detection technology earlier in the year, according to AFMC. These mobile kits will allow the military to conduct on-site tests on suspected patients and verify infection within 15 minutes, AFMC said. Infection cases will be later sent to a laboratory for a three-hour final verification process in a new diagnosis system set up by the medical command. ""The latest research outcome is expected to help find victims of biological weapons in the early stages and respond effectively so we can minimize human damage and the loss of combat forces,"" Lt.Col. Kim Dong-hoon, the head of the medical center, said. Last year, the medical center patented similar diagnostic kits for four other kinds of high-risk pathogens -- anthrax, smallpox, Yersinia Pestis and tularemia. (Yonhap)","military patents new diagnostic ,kits for weaponized viruses ,patents new diagnostic kits ,detect the two viruses ,patents new diagnostic","['Brucellosis', 'the Armed Forces Medical Command']",5,"[ 0.          0.          0.         ... -0.53676438 -0.15566806
  0.82811522]",KH디지털2,Defense,12,2015,"medical command the latest research ,medical command patented diagnostic kits ,the medical command patented diagnostic ,the military said monday medical ,medical command patented diagnostic","['Brucellosis', 'the Armed Forces Medical Command', 'AFMC', 'AFMC', 'Kim Dong - hoon', 'Yersinia Pestis']",16,"[ 0.          0.          0.         ... -0.53676438 -0.15566806
  0.82811522]"
5,5,5,S. Korea investigators return from Philippines after probe into murder of citizen,"Investigators returned from the  Philippines on Friday after looking into the recent shooting death  of a South Korean man, adding they have found key evidence to narrow down the suspects.A 57-year-old South Korean, identified only by his surname Cho,  was shot to death by four unidentified, armed assailants on Sunday  at his house in Batangas, some 100km south of Manila.The incident raised the number of Sou...","Investigators returned from the  Philippines on Friday after looking into the recent shooting death  of a South Korean man, adding they have found key evidence to narrow down the suspects.A 57-year-old South Korean, identified only by his surname Cho,  was shot to death by four unidentified, armed assailants on Sunday  at his house in Batangas, some 100km south of Manila.The incident raised the number of South Koreans killed in the  Southeast Asian country to 11 this year. Police said they have identified the white SUV used by the  suspects, adding they have also secured CCTV footage of the car on  a highway around 4 kilometers from the scene.Investigators will continue efforts to identify the license  plate on the car in cooperation with the authorities in the Philippines.Police added they will expand the scope of the investigation as it could be a contract murder rather than just a robbery. (Yonhap)","the recent shooting death ,the philippines on friday ,recent shooting death ,murder of citizen investigators ,recent shooting death of","['south korean', 'south Korean', 'Cho', 'Batangas', 'Manila']",5,"[ 0.          0.          0.         ... -0.30227038  0.818187
 -0.18151663]",줄리 잭슨 (Julie Jackson),North Korea,12,2015,"recent shooting death of south ,shooting death of south korean ,koreans killed in the southeast ,philippines on friday after looking ,shot to death by four","['south korean', 'south Korean', 'Cho', 'Batangas', 'Manila', 'South Koreans', 'southeast asian', 'CCTV', 'Philippines']",18,"[ 0.          0.          0.         ... -0.30227038  0.818187
 -0.18151663]"
6,6,6,Court rules chemical castration constitutional,"The Constitutional Court ruled in a 6-3 vote Wednesday that hormonal treatment to suppress sexual impulses in sex offenders is constitutional.In 2013, a district court had challenged the law that allows chemical castration for convicted child molesters over 19 years of age who are at risk of repeating their crimes, saying it violates basic human rights. The Constitutional Court, however, said the medication is a temp...","The Constitutional Court ruled in a 6-3 vote Wednesday that hormonal treatment to suppress sexual impulses in sex offenders is constitutional.In 2013, a district court had challenged the law that allows chemical castration for convicted child molesters over 19 years of age who are at risk of repeating their crimes, saying it violates basic human rights. The Constitutional Court, however, said the medication is a temporary treatment for the offenders and the hormones could be produced again when the treatment is stopped.The court also pointed out that the treatment targets are narrowly selected, and only for pedophiles, after experts analysis.Three judges who opposed to the law said it is problematic to use the treatment when the effects and the side effects have not yet been properly verified.The law authorizing chemical castration for sex offenders came into effect in 2011 -- the first Asian country to adopt this type of treatment -- amid a public outcry over a series of rapists reoffending following their release.Chemical castration involves administering medication -- either via injection or tablets -- to take away sexual interest and make it impossible for a person to perform sexual acts. The effects are reversible after the person stops taking the drug. (Yonhap)","convicted child molesters over ,chemical castration for convicted ,sex offenders is constitutional ,for convicted child molesters ,convicted child molesters","['the Constitutional Court', 'the Constitutional Court']",5,"[ 0.          0.          0.         ... -0.4855184  -0.18070765
  0.43311933]",윤민식,Social affairs,12,2015,"chemical castration for convicted child ,chemical castration for sex offenders ,castration for convicted child molesters ,convicted child molesters over 19 ,vote wednesday that hormonal treatment","['the Constitutional Court', 'the Constitutional Court', 'asian']",5,"[ 0.          0.          0.         ... -0.4855184  -0.18070765
  0.43311933]"
7,7,7,South Korea to monitor absent students for possible domestic abuse,"Following a high profile child abuse case this week reported in Incheon, where a father confined his 11-year-old daughter at home and continually abused her for more than two years, the South Korean government is launching a special investigation nationwide next month on all schoolchildren absent from school for more than a week. 　“Normally, when a child is absent for no specific reason for more than a week, a teac...","Following a high profile child abuse case this week reported in Incheon, where a father confined his 11-year-old daughter at home and continually abused her for more than two years, the South Korean government is launching a special investigation nationwide next month on all schoolchildren absent from school for more than a week. “Normally, when a child is absent for no specific reason for more than a week, a teacher is required to call his or her parents,” said Kim Il-yeol from the Division of Child Rights at the Welfare Ministry. “Following the case in Incheon, we plan to visit the homes of all schoolchildren who haven’t showed up to school for more than a week to make sure they are not being abused at home.”The 11-year-old victim of the Incheon case managed to escape the house on Dec. 12 by sliding down the drainpipe of the property. She was wearing shorts and was barefoot at the time. She weighed just 16 kilograms and was 120 centimeters tall.  (123RF)While being confined, her father and his girlfriend reportedly rarely gave her anything to eat. The girl told police she was constantly physically abused by both of them. According to the police, her father had been addicted to games, while her biological mother left her when the victim was 3 years old.South Korea has seen a dramatic increase in its number of reported child abuse cases, from 7,406 in 2010 to 15,025 last year, partly due to stricter rules on reports. In 2014, more than 80 percent of the abusers were confirmed to be the parents of the victims. The Incheon victim initially had attended an elementary school in Bucheon, Gyeonggi Province, in 2012, before moving to the current residence with her father and his girlfriend in the same year. Even in Bucheon, the child was reportedly often absent from the school. The girl never came back to school after the summer break in August, leading the teacher to visit her home. A missing report was filed, but it was later confirmed the girl had moved to Incheon with her parents.After moving to Incheon, the father never notified the city government of his new address, making it impossible for her teacher or education authorities to track her down.“We are aware of the problems that have been revealed by this case and are thinking of ways to better protect children who don’t show up to school from possible domestic abuse,” said Kim from the Welfare Ministry.According to the National Child Protection Agency, the victim is currently being treated at a hospital and her condition is getting better. She reportedly told the agency she wants her father to be punished.Among the 10,027 confirmed child abusers last year, 8,207 were the victims’ parents. The largest number of cases, 33 percent, were caused by the parents’ “lack of knowledge and skills in child care,” such as not being able to differentiate abuse and discipline. Twenty percent of the cases were triggered by the parents’ social isolation, as well as their stress stemming from financial difficulties. Ten percent of the abusers had conflicts with either their spouse or other family members. Also, a large portion of the abusers, 32.4 percent, were unemployed. An elementary school teacher, who wished to remain unidentified, said the current system, where a teacher is required to mail a notice to a student‘s house when he or she is absent consecutively for more than a week, is ineffective. “We are required to send the notice to the address that is written on the student’s legal documents, such as his or her ID,” she told The Korea Herald. “But there is no way for us to find out whether or not he or she actually lives there. The best way would be to visit the student in person and find out if he or she is physically okay.”According to the National Child Protection Agency, there are only 37 shelters nationwide for children who have abusive parents and are unable to live with them. Those shelters together can house just 250 children. By Claire Lee (dyc@heraldcorp.com)","month on all schoolchildren ,abuse case this week ,investigation nationwide next month ,domestic abuse following high ,schoolchildren absent from school","['Incheon', 'south korean']",5,"[ 0.          0.          0.         ... -0.59070504 -0.12022689
  0.33839837]",이다영,Social affairs,12,2015,"child abuse case this week ,next month on all schoolchildren ,child abusers last year 207 ,parents after moving to incheon ,month on all schoolchildren absent","['Incheon', 'south korean', 'Kim Il - yeol', 'the Division of Child Rights at', 'the Welfare Ministry', 'Incheon', 'Incheon', 'South Korea', 'Incheon', 'Bucheon', 'Gyeonggi Province', 'Bucheon', 'Incheon', 'Incheon', 'Kim', 'the Welfare Ministry', 'the National Child Protection Agency', 'the Korea Herald', 'the National Child Protection Agency', 'Claire Lee']",18,"[ 0.          0.          0.         ... -0.59070504 -0.12022689
  0.33839837]"
8,8,8,Court allows changes to national IDs,"The Constitutional Court ruled Wednesday that a law barring South Koreans from changing their resident registration numbers was unconstitutional.The court said the current law on resident registration numbers excessively violates citizens’ basic rights to make decisions about their own personal information, ordering the government to present a revision by the end of 2017. “It is an excessive violation of rights tha...","The Constitutional Court ruled Wednesday that a law barring South Koreans from changing their resident registration numbers was unconstitutional.The court said the current law on resident registration numbers excessively violates citizens’ basic rights to make decisions about their own personal information, ordering the government to present a revision by the end of 2017. “It is an excessive violation of rights that the government does not allow Koreans to change their resident numbers regardless of damage from leakage or abuse of personal information,” the panel of eight judges said in the verdict.Under the current law, the 13-digit resident registration number is issued to every Korean national at birth. The number, composed of their birthdate and seven unique digits, is commonly used in daily activities including creation of bank accounts, online shopping or purchase of mobile phones. But as the law does not have a clause allowing Koreans to alter their identification number, citizens use the same number at all times, even when their information is leaked. The court has ordered the government to change the number only in exceptional cases when errors are found in the birthdate.Refuting claims that the system overhaul could be abused by criminals, the court stressed the need for an “objective and fair system to review applications for changing resident numbers.”A group of five people, including a man surnamed Kang, filed a suit against the Ministry of Interior with the Constitutional Court after the government rejected the request and lower courts ruled against them. They asked the court to revoke the government’s rejection, arguing that their numbers were stolen and exposed them to the danger of identity theft and scams. But the ministry maintained that there are no alternatives to the current system and the permission to change resident numbers would take a toll on their administrative tasks. It also cited the hefty costs. According to the ministry’s own estimate, the reform of the system could cost up to 670 billion won ($571 million). The verdict came amid mounting concerns over security of personal information amid a series of data theft cases and financial scams in Korea in recent years.In early 2014, a massive leak of client databases at Lotte Card, KB Kookmin Card and NongHyup Card shocked Koreans, triggering calls for a reform in the current resident registration system. More than 200 million identification numbers were leaked online as a result. Under the growing pressure, the government put forward a bill to allow its citizens to change the numbers when there are well-established fears and danger of damage to their person or property.But activists and experts have pointed out that the measure does not sufficiently protect data from being stolen and misused in the first place, suggesting that the number be composed of entirely random digits not related to personal details. The resident registration system was introduced in 1968 as a 12-digit number, as part of efforts to track down North Korean spies in the aftermath of an attempted assassination of then-President Park Chung-hee. The current 13-digit system took effect in 1975.By Ock Hyun-ju (laeticia.ock@heraldcorp.com)","registration numbers was unconstitutional ,was unconstitutional the court ,law barring south koreans ,wednesday that law barring ,numbers was unconstitutional","['the Constitutional Court', 'South Koreans']",5,"[ 0.          0.          0.         ... -0.42546034  0.2637102
  0.2641286 ]",옥현주,Social affairs,12,2015,"law barring south koreans from ,resident registration numbers was unconstitutional ,ruled wednesday that law barring ,numbers was unconstitutional the court ,that law barring south koreans","['the Constitutional Court', 'South Koreans', 'Koreans', 'korean', 'Koreans', 'Kang', 'the Ministry of Interior', 'the Constitutional Court', 'Korea', 'Lotte Card', 'KB Kookmin Card', 'NongHyup Card', 'Koreans', 'north korean', 'Park Chung - hee']",10,"[ 0.          0.          0.         ... -0.42546034  0.2637102
  0.2641286 ]"
9,9,9,Facebook most popular social media tool in Korea: poll,"Facebook is the most popular social networking service in South Korea this year, a poll showed Tuesday, outpacing other global and local platforms.According to a survey by market researcher DMC Media on 780 SNS users aged between 19 and 59, 59.8 percent picked Facebook as their most-used SNS.KakaoStory, a photo-sharing service operated by Kakao Corp., followed with 17.1 percent. Kakao is the operator of KakaoTalk, a ...","Facebook is the most popular social networking service in South Korea this year, a poll showed Tuesday, outpacing other global and local platforms.According to a survey by market researcher DMC Media on 780 SNS users aged between 19 and 59, 59.8 percent picked Facebook as their most-used SNS.KakaoStory, a photo-sharing service operated by Kakao Corp., followed with 17.1 percent. Kakao is the operator of KakaoTalk, a free mobile messenger that has 35 million local users in the country of 50 million.Instagram came next with 10.3 percent, followed by group-interaction service BAND operated by Naver Corp. with 8.2 percent.Naver operates South Korea's most-visited web portal and also has free messenger LINE under its wing. Twitter accounted for 2.4 percent.By age group, those in their 40s and 50s preferred KakaoStory and BAND services which can be shared with only authorized acquaintances, while younger users in their teens and 20s chose global SNS brands, such as Facebook and Twitter, the survey showed. (Yonhap)","facebook most popular social ,facebook most popular ,most popular social media ,most popular social networking ,facebook is the most","['South Korea', 'SNS', 'Facebook', 'Kakao Corp.', 'KakaoTalk']",5,"[ 0.          0.          0.         ... -0.90690893  0.34739247
  0.33332652]",KH디지털2,Social affairs,12,2015,"south korea most visited web ,korea most visited web portal ,facebook is the most popular ,korea most visited web ,50 million instagram came next","['South Korea', 'SNS', 'Facebook', 'Kakao Corp.', 'KakaoTalk', 'BAND', 'Naver Corp.', ""South Korea 's"", 'KakaoStory', 'BAND', 'SNS']",0,"[ 0.          0.          0.         ... -0.90690893  0.34739247
  0.33332652]"
